objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
mm_01,IMG_0032.jpeg,Nap Time,Sherese Card,2023-05-01,Max and Mini cuddling.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,01,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_02,IMG_0059.jpeg,The Mighty Huntress,Sherese Card,2023-05-02,Mini looking out of the window.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,02,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_03,IMG_0181.jpeg,Dirty Kitty,Sherese Card,2022-11-29,Mini in the washing machine.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,03,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_04,IMG_0191.jpeg,Nap Time #2,Sherese Card,2022-12-27,Max and Mini cuddling in bed.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,04,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_05,IMG_0244.jpeg,What Are You Looking At? ,Sherese Card,2023-05-14,Max sunbathing ft. his butthole.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,05,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_06,IMG_0431.jpeg,Proper Kitty,Sherese Card,2020-06-22,Photogenic Max.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,06,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_07,IMG_0493.jpeg,A Mini mini nap,Sherese Card,2020-06-22,Mini taking a nap.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,07,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_08,IMG_1073.jpeg,Sleepy Mini,Sherese Card,2020-07-04,Mini sunbathing on cat lounger.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,08,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_09,IMG_1206.jpeg,Max & Mini//Yin & Yang,Sherese Card,2020-07-10,Max & Mini napping together on the living room couch.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,09,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_10,IMG_1209.jpeg,Cat Cinnamon Rolls,Sherese Card,2020-07-10,"Max & Mini napping together on the living room couch, again.",cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,10,image,image/jpeg,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_11,IMG_1239.mov,Cat Brawl,Sherese Card,2020-07-18,Oooo they fightin',cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,11,video,video/mov,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
mm_12,IMG_1501.mov,Piggy In A Blanket,Sherese Card,2020-07-12,he stinky.,cats; animals;photography,"Seattle, Washington",47.608013,-122.335167,Sherese Card,12,video,video/mov,eng,public domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
